Restaurant Name,Price,Cuisine,Distance,Cleanliness and Hygiene,Locality/Neighborhood,Wait Times,Portion Sizes,Overall Rating
NORTH POLE ICE CREAM COMPANY,58,Mexican,67,74,69,85,25,64
NORTH'S CAF,56,Indian,12,44,78,26,4,41
NORTHSIDE SPORTS BAR,85,Korean,31,31,81,48,46,54
OASIS NITECLUB,24,Korean,39,44,43,26,25,35
O'BRADY SALOON,29,Japanese,73,44,88,39,41,54
O'CONNORS,25,Japanese,4,85,77,72,60,51
O'DONNELL PUB,28,Chinese,11,72,56,73,14,42
ODYSSEY LOUNGE,62,French,36,45,26,52,49,43
O'HARA'S IRISH PUB,20,Chinese,35,44,27,92,23,36
OK TAVERN,94,French,34,90,100,61,43,74
OLD BAY CAF,25,Mexican,20,10,75,18,54,33
OLDE OBRYCKI'S CRAB HOUSE (saesonal),39,Spanish,10,83,68,9,24,43
OLORI B',73,Japanese,12,98,51,100,40,60
OMEGA PSI PHI FRATERNITY,75,Chinese,50,84,25,2,36,50
ONE + ONE CARRYOUT,83,Korean,98,24,13,18,70,52
ONE WORLD CAF,79,Korean,96,41,92,20,80,71
ONE-EYED MIKE'S,92,Korean,81,48,83,34,5,64
OPEN HEARTH INN,31,Chinese,91,85,96,64,32,70
ORIENT EXPRESS,48,Japanese,21,83,31,56,42,46
ORLEANS LIQUORS,58,Mexican,62,36,10,96,8,43
ottobar,77,Italian,13,27,70,25,35,43
OUT TO LUNCH,90,French,68,36,30,7,23,47
OUTBACK STEAKHOUSE,44,Japanese,90,61,21,19,21,47
OVERLEA   DINER,60,American,26,52,40,87,80,52
OXFORD TAVERN,49,French,0,26,20,3,5,19
P & S JAMAICAN & AMERICAN RESTAURNAT & CARRYOUT,22,American,74,80,77,44,16,56
P.J.'S PUB,61,Italian,59,27,37,68,7,44
PAIK'S PLACE,62,Mexican,1,12,80,56,7,37
PAK'S LIQUORS,48,Thai,3,60,97,94,20,53
PALOMA'S (351-55),49,Spanish,62,49,41,8,14,42
PANADERIA HERMANOS NAVARRO LLC,98,Italian,73,47,57,0,77,62
PANDA EXPRESS # 1152,87,Mexican,67,92,79,73,52,77
PANERA BREAD,98,Korean,43,84,58,69,12,64
PAPA  JOHNS  PIZZA,22,Italian,73,96,15,61,65,53
PAPA JOHN'S,35,Thai,67,90,27,63,42,54
PAPA JOHN'S PIZZA 730,60,Italian,8,37,86,91,74,54
PAPERMOON DINER,83,American,20,46,82,43,50,55
PARADISE OF PARK HEIGHTS,64,Japanese,31,16,19,3,70,33
PARADOX,31,Mexican,22,81,14,46,2,34
PARK  AVE.  SPORTS  BAR,73,Mexican,0,62,29,36,74,43
PARK AVENUE CAF EXPRESS,86,Italian,25,46,78,37,11,51
PARK INN,99,Indian,53,12,61,40,8,49
Parkside Restaurant,81,Japanese,8,54,43,24,5,40
PARTHENON DINER,78,American,84,11,80,92,41,63
PASTICCIO ITALIAN KITCHEN,100,Italian,79,68,46,25,59,67
PATRICK'S  OF PRATT STREET,29,Spanish,52,32,11,59,36,34
"PATTERSON PERK, LLC",45,Indian,59,25,82,1,52,47
PATTY CAKES,38,Mexican,78,61,13,78,13,47
PAUL'S,71,Spanish,56,43,91,6,30,55
PAZO,77,Thai,74,40,27,62,25,52
PAZZA LUNA,76,Mexican,8,78,20,26,9,39
peabody court a clairon hotel,38,Korean,42,67,65,79,48,55
PEARL'S,78,Indian,30,49,53,24,71,51
PEIWEI ASIAN DINER,48,American,69,73,53,68,65,61
peking house,28,Mexican,11,25,45,40,42,30
PENN LIQUORS,69,American,51,12,80,98,26,54
PENN RESTAURANT & CARRYOUT,32,Japanese,98,34,58,74,37,55
PENN STREET TAVERN,72,Japanese,90,88,71,87,58,78
PENNINGTON   STATION,34,Indian,100,36,57,62,13,52
PENNINGTON'S PUB      (5 & 7 W. PATAPSCO AVE.),34,French,55,39,11,13,39,33
PEPINO'S INCORPORATED,48,Thai,44,84,48,89,80,61
PEPPER'S LIQUOR'S,89,Thai,62,90,37,92,13,66
PERGUSA ENTERPRISES,63,Chinese,27,95,22,15,14,44
PETALO'S,86,Italian,73,98,32,100,49,72
PETERS POUR HOUSE AND PUB 110,28,Indian,64,73,32,17,14,42
PETE'S GRILLE,54,Japanese,37,75,31,25,74,49
"PETE'S INN, INCORPORATED",92,Mexican,73,66,63,5,6,59
PETIT LOUIS BISTRO,37,French,17,65,100,11,32,48
PETTIFORD'S SEAFOOD & SOUL FOOD,98,Thai,63,14,81,32,41,58
PF CHANGS CHINA BISTRO,78,Chinese,94,42,56,12,13,56
PHANTOM'S BAR AND GRILL,49,French,1,69,86,61,46,51
PHILLIP'S EXPRESS BUFFET,45,American,46,85,60,100,80,65
PHILLIP'S OF HARBOR PLACE,93,American,50,21,93,86,46,64
PICCADELIS,30,Indian,77,29,54,60,9,44
PICKLES PUB,34,French,48,28,66,23,71,44
PIER 5 HOTEL,94,Chinese,49,26,66,78,41,58
PIMLICO TRACK KITCHEN  (PIMLICO RACE COURSE),85,French,50,49,86,99,7,64
PIZZA PRESTO,87,Italian,61,42,34,5,2,45
PIZZERIA UNO,80,Italian,0,95,100,13,8,57
"PLAZA SALOON, INC.",51,Spanish,76,56,53,33,53,55
"POLISH NATIONAL ALLIANCE, COUNCIL 21",32,American,25,46,32,98,44,41
POLLO REAL,70,Japanese,83,58,45,3,29,54
POLOCK JOHNNY'S,52,Mexican,94,45,83,13,68,62
POL'S CAF,94,Mexican,86,35,93,67,63,74
PONCABIRD PUB/SNACK SHACK,53,Indian,92,60,90,52,60,70
POPEYES FAMOUS FRIED CHICKEN,76,Mexican,38,99,59,95,23,66
POPEYE'S FAMOUS FRIED CHICKEN & BISCUITS,33,Thai,59,71,65,65,73,59
POPEYES OF MONDAWMIN,67,French,62,64,63,73,4,58
PORT IN A STORM,23,Chinese,95,68,68,0,31,53
PORT TRUCK STOP BAR  RESTAURANT,61,Mexican,41,78,96,10,12,57
PORTERS PUB,21,Korean,0,77,86,77,68,51
REISTERSTOWN ROAD SUBWAY,51,French,90,65,23,22,71,55
RENAISSANCE HARBORPLACE HOTEL,84,Italian,7,83,91,0,11,54
RENDEZVOUS  LOUNGE,93,Chinese,84,98,24,32,28,65
restaurante el trovador,95,Chinese,22,37,10,73,67,46
restaurate el salvador,76,Thai,55,54,26,35,10,46
RICK'S BAR & GRILL,60,Indian,39,69,99,77,16,62
RITA'S ITALIAN ICE,35,Italian,83,63,50,99,15,57
ROBBIE'S NEST,67,French,6,59,99,46,37,54
ROBERT OLIVER SEAFOOD,58,Thai,67,78,86,3,73,65
ROCCO'S CAPRICCIO,77,French,35,81,88,86,50,69
"ROCK ""N"" ROBIN CAFE",73,Chinese,88,28,40,14,15,48
ROCKET TO VENUS (3358-3360),27,French,55,57,83,39,3,48
RODOS  BAR,75,American,92,41,88,6,35,63
ROMAN'S PLACE,50,American,79,65,100,20,50,65
ROOTS UNLIMITED,58,French,4,28,81,18,66,42
ROPEWALK TAVERN,41,Korean,71,19,80,19,75,51
ROSIE'S,23,Spanish,92,67,39,23,26,49
ROSITAS RESTAURANT,53,Japanese,78,30,36,47,66,50
ROYAL RESTAURANT,44,Indian,44,17,91,31,23,44
ROYAL VILLAGE,57,French,78,75,46,24,18,55
"ROY'S EAST ATLANTIC I, LIMITED PARTNERSHIP",84,Indian,74,74,64,9,37,63
RUB BARBEQUE,60,Mexican,58,11,72,86,16,50
RUBY TUESDAY,54,Thai,13,65,90,26,60,53
RUMOR BAR AND GRILL,21,French,6,77,71,8,43,40
RUSSELL SERNOCKY AMERICAN LEGION POST #184,91,American,20,59,76,32,70,59
RUSTY SCUPPER,78,Japanese,24,29,88,63,22,52
RUTH E'S PLACE,53,Mexican,61,27,68,45,79,54
RUTH'S CHRIS STEAK HOUSE,35,Italian,16,98,80,79,77,61
RUTLAND BAR,67,Spanish,56,42,26,78,12,47
RYAN'S DAUGHTER,93,Thai,19,15,61,100,9,48
RYLEIGH'S OYSTERS,64,French,18,31,36,29,80,40
S.O.S BAR & LOUNGE,22,Indian,90,67,83,42,2,56
SABATINO'S RESTAURANT,52,Korean,57,29,35,91,46,48
saigon remembered restaurant,94,Japanese,60,32,66,65,1,57
SAINT BENEDICT BOOSTER CLUB,73,American,100,14,58,27,74,59
SALSA RICO,75,French,67,37,17,42,49,48
SALSARITA'S FRESH CANTINA,65,American,10,29,51,46,28,38
SALT,72,Spanish,11,50,39,34,79,45
SAMMY'S TRATTORIA,39,Indian,86,27,40,75,8,46
SAMOS RESTAURANT,99,Indian,39,46,44,96,29,58
SAMPSON'S RESTAURANT,67,Indian,27,42,71,63,24,50
SAM'S BAGELS,99,Spanish,15,11,13,4,16,29
SAND MAN,100,American,84,94,54,22,51,73
SANDPIPER,27,French,98,11,56,44,80,50
SANDY'S CAFE,82,Mexican,43,56,44,31,29,51
SANTA ANA RESTURANT,73,Italian,44,75,50,57,36,57
SBARRO INC.,76,French,11,34,83,4,10,42
SBARRO ITALIAN EATERY,50,Italian,47,76,24,49,12,45
SCHAEFER'S BAR & RESTAURANT,23,Japanese,29,37,64,78,80,46
SCORES,38,Thai,43,96,45,83,22,54
serdenes restaurant,80,American,3,34,26,94,78,45
S'GHETTI EDDIE'S,53,Chinese,3,36,99,30,26,43
SHAFFERS,99,Italian,26,49,21,11,47,44
SHAHRAZAD'S INTERNATIONAL NEO-SOUL,84,Korean,94,21,42,64,3,54
SHANE'S SANDWICH SHOP,96,Indian,71,77,76,12,16,66
SHARKY'S BAR & GRILL,41,Chinese,94,28,51,35,58,52
SHED ROW,93,Mexican,69,100,89,29,7,73
SHELDON'S LOUNGE,34,Korean,22,55,45,65,60,43
SHERATON BALTIMORE CITY CTR HOTEL (BANQUET),36,French,27,17,53,48,25,33
SHERATON INNER HARBOR HOTEL - ORIOLES GRILL,100,Italian,29,22,41,42,41,46
SHERATON INNER HARBOR HOTEL -EMPLOYEE'S CAFETERIA,75,Chinese,18,57,20,46,39,42
SHERATON INNER HARBOR HOTEL-MAIN KITCHEN,55,Korean,18,65,83,92,3,53
SHERRIES,36,Chinese,96,82,21,80,22,57
SHERRY'S PLACE,77,Spanish,0,66,22,2,4,33
SHIRLEY'S  HONEY HOLE,67,Indian,30,70,29,75,59,52
SHORTY'S,59,American,27,82,33,31,8,44
SHUCKERS OF FELLS POINT,94,French,90,13,21,68,25,52
SHULA'S @ SHERATON BALTIMORE CITY CTR HOTEL,69,Thai,15,58,87,34,33,52
SIDE  BAR  (218-220),56,Indian,29,91,82,4,2,52
SID'S TAVERN,97,Thai,16,90,49,79,33,61
SIGN OF THE TIMES  (137-39),21,Thai,66,70,35,72,74,53
SIG'S BAR,56,Japanese,32,88,93,39,59,63
SILK ROAD EXPRESS-MATTIN CENTER  J H U,46,French,75,50,53,87,78,61
SILK'S TAVERN,26,Mexican,3,31,49,8,20,24
SILVER STAR RESTAURANT/CARRYOUT,41,Korean,21,78,36,58,1,41
SIP & BITE RESTAURANT,60,Korean,29,32,72,18,28,43
SIR'S DELI,55,Korean,23,94,32,74,69,55
SISSON STREET SUBWAY,51,Indian,31,43,24,97,6,40
SISTA'  SANDRA'S INTERNATIONAL CUSINE,66,Japanese,78,61,19,75,65,58
SKEETER'S,98,Indian,55,12,90,5,45,56
SKY LOUNGE/ TANGO TAPAS,91,Spanish,89,23,14,48,68,55
SKYBOX BAR & GRILL,63,Thai,47,75,69,28,23,55
SLAINTE IRISH PUB & RESTAURANT,36,Italian,70,79,24,3,25,44
SLIDERS BAR & GRILL,41,Chinese,9,26,20,0,9,20
SLIM ACE OF CLUB,77,Thai,80,55,77,94,57,72
SLY FOX PUB,35,Indian,65,26,10,53,3,32
SMEDLY'S,32,Chinese,62,29,36,3,22,34
smiley's tavern,99,Mexican,94,100,42,84,26,78
SMITH PLACE,45,Japanese,11,72,15,35,40,36
SMITTIE'S BAR & LOUNGE,41,Italian,11,54,50,18,61,39
SOBO CAFE'  (6-8 W. CROSS ST.),50,Italian,18,60,89,74,64,57
SODEXHO  sunpapers,26,American,97,54,16,64,5,45
"SODEXHO MANAGEMENT, INC.",65,Thai,44,28,53,16,32,42
SODEXHO MANAGEMENT. INC,59,Chinese,49,60,38,61,54,52
SODEXHO/ FEDERAL RESERVE BANK,85,French,71,58,94,85,4,70
SOFI'S CREPES,26,French,3,22,91,90,10,38
SONAR,59,Chinese,33,69,38,77,30,50
SON-SON LIQUOR & TAVERN,93,Spanish,71,35,52,51,6,55
SOTTO SOPRA,75,Thai,35,53,57,94,67,60
SOUL SOURCE,36,Spanish,82,45,55,87,28,55
SOUP'S ON BALTIMORE,52,Indian,94,96,13,35,71,61
SOUTHERN ACCENTS,46,Spanish,50,28,15,95,41,41
SOUTHSIDE SALOON,96,Italian,4,82,62,81,29,59
SOUVLAKI  PLACE,42,French,95,74,14,61,36,54
SPARTAN PIZZERIA RESTAURANT,97,Italian,72,84,87,82,1,76
SPEAKEASY SALOON,45,Japanese,7,32,59,94,34,41
SPECTRUM CATERING,93,French,86,16,68,79,79,68
SPIRITS & MORE,61,Italian,43,59,80,98,54,63
SPIRITS TAVERN,43,Italian,16,48,25,87,6,35
"SPIRITS WEST,INC",81,Korean,65,34,15,11,4,40
SPOONS COFFEE,84,Japanese,67,76,41,33,18,58
SPORTS CAFE,24,American,69,34,13,59,65,40
SPORTS PALACE,72,Spanish,54,35,18,35,57,45
SPORTSMAN LOUNGE BAR,20,Mexican,10,87,64,58,46,46
SPORTSMAN SPOT,27,Mexican,5,49,27,69,25,31
"SPORTSTERS, INC.",47,Korean,27,81,75,72,67,59
ST. MARY'S (118-120),45,Italian,7,41,82,22,23,39
STADIUM LOUNGE,43,Mexican,96,92,83,41,77,74
STAGE DOOR/ENCORE,97,Japanese,90,55,42,17,20,60
STALKING HORSE,72,Indian,71,34,54,92,73,62
STANLEY'S DRIVE INN,24,Mexican,95,31,74,33,70,55
STARBUCKS,85,Chinese,4,42,29,59,5,38
STARBUCKS  COFFEE #746,82,French,42,53,79,18,27,55
STARBUCKS COFFEE,58,Chinese,39,26,78,84,3,48
STARBUCKS COFFEE COMPANY,50,Chinese,39,87,97,36,69,65
STARBUCKS CORPORATION,92,Mexican,49,98,11,65,56,62
STARLITE LOUNGE,58,Chinese,42,37,74,18,42,48
STARTERS TAVERN,63,Spanish,55,23,33,47,7,40
STATION NORTH ARTS CAF,96,French,77,97,40,74,50,74
STEELWORKERS HOLDING COMPANY,67,Indian,10,79,31,95,24,49
STEEPLE CHASE II,35,Italian,84,53,55,98,32,58
STOCKMARKET BAR,34,Mexican,33,20,34,53,51,34
SUBWAY,42,American,75,61,37,37,8,47
subway,46,Spanish,81,19,61,8,39,46
SUBWAY  RESTAURANT,94,French,30,11,31,75,39,44
SUBWAY 1301 N. CHARLES ST,36,French,14,68,71,43,35,45
SUGAR HILL TAVERN & PKG.,74,Japanese,72,39,93,40,8,60
SUN FLOWER DELI,99,Spanish,80,41,27,54,10,55
SUN HING CHINESE FOOD CARRYOUT,41,Chinese,42,76,20,13,3,37
SUNLIGHT LOUNGE,52,Mexican,52,79,31,38,74,54
"SURN-N-JOE""S",39,Mexican,78,22,11,42,29,37
SURVIVOR'S SPORTS BAR (606-08),95,Japanese,72,40,30,24,1,49
SUSHI-SAN RESTAURANT,87,Japanese,98,22,91,49,47,69
SUZIE' SOBA,81,Korean,79,51,44,44,8,56
SUZIE'S SOBA,88,Thai,55,54,75,20,42,60
SWEET MELON CAF,21,Indian,36,24,16,43,11,24
SWEET RETREAT CAF,51,French,64,52,42,94,53,56
SZE-CHUAN RESTAURANT,54,Mexican,24,23,30,4,1,26
T N C. INC. (4106-4108),41,Mexican,5,76,35,4,13,33
T.D.F. CORPORATION,53,Thai,55,92,24,51,56,55
TABRIZI'S,38,Thai,74,58,85,77,42,62
TACO BELL,40,Mexican,3,34,83,32,68,42
TACO BELL & LONG JOHN SILVERS,72,Mexican,10,32,95,66,67,55
TACO FIESTA,25,Mexican,11,86,66,79,2,45
TAKI'S PIZZA CARRYOUT RESTAURANT,46,Italian,30,10,86,21,33,39
TALAY THAI GRILLE,58,Thai,36,90,23,14,56,48
TALKING HEAD CLUB,69,Thai,67,42,56,95,18,58
TAMBER'S,83,Korean,9,45,43,62,19,44
TAM-TAM,99,Japanese,23,42,61,62,70,58
TAPAS TEATRO CAF,87,Spanish,6,18,17,27,14,29
TASTE,25,Thai,86,52,38,39,14,45
TASTE INTERNATIONAL RESTAURANT,66,Indian,93,56,74,90,19,68
TASTE INTERNATIONAL RESTAURANT & LOUNGE/BAR,49,Italian,73,98,85,39,2,65
TAYLOR'S 5000 TAVERN,63,Chinese,82,10,17,51,10,40
TAYLORS EAST,47,Indian,91,37,25,31,23,45
TEN-O-SIX,80,Spanish,39,51,75,40,11,54
TEQUILA SUNSET,35,American,89,77,23,11,19,47
THAI  LANDING,95,Thai,42,14,13,25,23,37
THAI ARROY RESTAURANT,21,Thai,49,54,28,59,68,43
THAI RESTAURANT,39,Thai,42,86,59,51,1,50
THE 8 x 10,32,Mexican,89,44,37,55,29,48
THE ADMIRAL'S CUP,92,Indian,94,67,74,19,3,67
THE AMERICAN LEGION,43,American,25,49,24,3,44,32
THE BALTIMORE SYMPHONY ORCHESTRA,22,Spanish,15,43,99,1,16,37
"THE BALTIMORE VETS ASSOC., INC. CHPT #451",76,French,39,51,67,58,37,56
THE BICYCLE,97,Spanish,60,92,99,65,59,82
THE BISTRO,66,French,24,93,95,97,41,69
THE BRASS ELEPHANT,26,Japanese,38,34,28,5,10,26
THE BREWER'S ART,76,Italian,71,83,18,24,18,53
THE BROOKSHIRE  INNER  HARBOR  SUITE  HOTEL,84,Italian,79,47,93,18,52,67
THE CANTON LIQUOR HOUSE,64,Chinese,91,88,35,99,46,70
THE CAPITAL GRILLE,38,Mexican,57,17,22,89,44,40
THE CARIBBEAN AMERICAN HEAT,91,American,46,24,49,51,75,54
THE CATS EYE PUB,50,Chinese,8,90,51,27,23,44
The Chameleon Caf‚',32,Thai,84,99,77,31,77,69
THE CHEESECAKE  FACTORY,88,Mexican,16,19,20,25,54,36
THE CHINA DOLL,97,Chinese,48,37,20,28,53,48
THE CRAB PIT,55,Japanese,63,92,16,76,11,53
THE DEN LLC,76,Spanish,9,29,90,45,74,52
THE DEPOT,59,Thai,62,52,24,100,73,56
THE DRINKERY,58,Japanese,65,71,63,63,27,60
THE EDGE BAR & LOUNGE,98,Mexican,59,62,36,13,30,55
THE EDGE BAR & LOUNGE - KITCHEN AREA,51,Spanish,47,66,51,26,25,48
THE ENGINEER'S SOCIETY OF BALTIMORE,68,Italian,66,49,25,5,70,49
THE EVERGREEN,95,Japanese,7,67,75,88,48,62
THE FAIRMOUNT INN,30,Mexican,72,98,56,78,48,63
THE GARDENVILLE CLUB,88,Japanese,19,93,62,81,59,66
THE GARRETT LOUNGE,98,Chinese,90,76,46,90,59,76
THE GENTLEMAN'S GOLD CLUB,59,Korean,19,20,13,30,7,25
THE GIN  MILL,49,Mexican,94,15,38,29,9,43
THE GLASS GRILL,35,Indian,40,81,36,18,64,46
THE GODDESS,95,Korean,47,91,51,52,71,69
THE GREENE TURTLE,41,Indian,61,77,43,12,57,51
THE HOLLOW BAR & GRILL,75,Spanish,53,47,53,85,63,60
THE HORSE YOU CAME IN ON,89,Spanish,15,35,10,95,72,46
THE HUBCAP INN,94,Korean,67,54,17,69,2,53
THE IBIS TAVERN,21,Korean,33,30,74,43,69,42
"THE INNER HARBOR MARINA OF BALTIMORE, INC.",64,American,93,93,28,38,3,59
THE LAUGHING PINT,52,Italian,88,59,28,89,71,61
THE LIFE OF REILLY IRISH PUB & RESTAURANT,71,Chinese,53,23,18,99,41,47
THE LODGE BAR,89,Thai,52,89,86,67,36,73
THE LOOP,82,Spanish,13,77,36,67,37,52
THE MORNING EDITION CAFE,56,American,55,10,73,88,54,53
THE NEW 2 O'CLOCK CLUB,51,Chinese,41,73,22,97,51,52
THE NEW BUCKETT'S LOUNGE,23,Japanese,83,81,81,49,50,63
THE NEW CASSELL (KITCHEN AREA),49,Mexican,24,36,30,10,54,34
THE NEW CASSELL'S,33,Mexican,24,39,39,12,36,31
THE NEW HAVEN LOUNGE,31,Spanish,29,97,87,87,29,60
THE NEW WYMAN PARK RESTAURANT,32,Korean,26,57,84,37,59,49
THE NORTHEAST TAVERN,27,Mexican,94,59,69,44,41,58
THE OCEANAIRE SEAFOOD ROOM,91,Mexican,29,45,51,83,30,54
THE OPPOSITE SIDEWALK SALOON,86,Thai,1,31,61,78,11,44
THE PLACE,81,American,99,98,27,29,3,64
THE PREAKNESS LOUNGE,25,French,9,18,64,70,80,38
"THE PRIME RIB, INCORPORATED",60,Japanese,49,69,45,69,47,56
THE QUEST,73,Mexican,66,59,25,8,36,49
THE RED STAR BAR & GRILL,68,Chinese,25,24,18,12,8,29
THE ROWAN TREE,86,French,79,96,42,67,53,72
THE SHAMROCK INN,50,Italian,85,39,40,57,57,54
THE WALTERS ART GALLERY,77,Mexican,1,79,34,3,34,41
THE WATERFRONT HOTEL,30,Japanese,47,37,79,100,77,56
THE WHARF RAT CAMDEN YARDS,99,Japanese,6,76,19,65,39,50
"THE WHISPERING WIND, LLC",29,American,33,20,70,66,36,40
THE WINE MARKET (SUITE 135),53,American,49,100,24,67,62,58
THE YABBA POT,66,Korean,21,16,96,54,76,52
THIRSTY'S II,61,Japanese,15,61,36,52,45,44
THORNTON'S PUB,46,Indian,47,75,86,7,19,53
THREE  ACE'S,25,Mexican,1,61,29,24,1,25
THREE KINGS OF EGYPT,31,Spanish,68,97,22,65,68,56
THUMPER'S,97,Italian,78,89,15,2,53,61
TIBURZI'S CAF LLC,24,French,14,64,26,46,3,30
TIJUANA TACOS & DELI,66,Mexican,10,68,55,99,28,52
TIME CAF,99,American,89,47,94,7,31,69
TIMOTHY DEAN BISTRO,49,French,62,86,78,60,57,66
TIO PEPE RESTAURANTE,95,Japanese,90,72,33,23,13,61
TIR NA NOG BAR & GRILL,87,American,70,72,49,75,74,70
TODD CONNERS,66,Indian,25,78,24,12,46,44
TOM & OLIVE'S CAFE,50,American,2,23,16,44,6,23
TOMMY'S LOUNGE,46,Mexican,68,52,88,28,18,55
TOM'S BAR,84,Thai,64,16,83,3,32,52
TONY'S PLACE,85,Indian,37,37,55,55,17,50
TORAIN'S  HIDE-A-WAY,97,Chinese,93,34,10,80,8,55
TOWER TERRACE RESTAURANT,73,Thai,19,95,68,69,47,62
TRACEY'S  LOUNGE,29,Korean,56,62,29,23,70,44
TRAVELERS LOUNGE,45,Italian,96,39,16,83,38,51
TREMONT GRAND CAF,67,Chinese,87,35,49,99,57,63
TREMONT HOTEL/8 EAST RESTAURANT,52,Italian,90,42,37,97,18,55
TREMONT PLAZA DELI,96,Spanish,33,22,30,41,36,43
TREMPER INC.,77,Korean,64,86,20,24,53,57
TRINIDAD ASSOCIATES,37,American,51,97,67,55,44,60
TRIP PLACE,74,Mexican,2,16,43,96,78,44
TROPICAL TASTE RESTAURANT,45,Thai,51,84,17,18,42,45
TRUFFLES & TEA,56,Italian,98,83,91,46,20,72
TRUST CHINESE RESTAURANT,43,Chinese,38,17,22,51,33,32
TSUNAMI BALTIMORE,41,Korean,31,27,42,2,34,31
TUG'S RESTAURANT-TREMONT PLAZA HOTEL,60,Japanese,76,69,89,65,64,71
TURF BAR & LOUNGE,96,Spanish,14,49,66,88,44,58
TURNER'S CAFE,78,Thai,45,21,48,71,8,46
TURNTABLE LIMITED,44,Spanish,77,46,21,72,0,44
TWINS SUBWAY,96,Italian,79,53,68,96,53,74
TWO SISTERS GRILLE,96,Korean,59,94,56,36,67,71
"TYSON PLACE, INC.  ( A.K.A 227 W CHASE ST)",82,American,22,70,89,74,68,66
Tyson's Tavern,84,French,44,60,38,20,76,54
TYSON'S TAVERN,60,Japanese,91,79,68,40,23,65
UNCLE LEE'S AT THE HARBOR,73,French,4,45,10,80,54,39
UNCLE WALT'S PLACE,33,Korean,47,25,95,41,75,51
UNION HOLDING COMPANY,82,Mexican,7,79,39,94,59,56
UNITED AUTO WORKERS HOLDING COMPANY,22,Italian,96,66,77,80,75,67
UNIVERSAL SOCIAL CLUB,86,Indian,100,88,64,80,60,81
UPPER DECK,68,Japanese,68,50,40,63,51,56
V I P CITY  (1833-35),23,Chinese,82,24,73,82,55,54
v.f.w. post 2916,77,Mexican,94,79,18,71,57,66
"VACCARO'S ITALIAN PASTRY SHOP, INC.",53,Italian,91,36,25,12,20,44
"VALENTINO'S RESTAURANT,INC",64,Indian,70,19,34,20,66,46
VELLEGGIA'S ITALIAN SEAFOOD RESTAURANT,84,Italian,78,23,98,100,39,70
VENICE TAVERN,39,Indian,16,87,49,100,7,48
"VENUS PIZZERIA, INC.",86,Italian,23,68,97,13,23,58
VERNELL'S ICE PARADISE,76,Italian,28,57,48,17,22,45
"VFW POST #8509  - DONALD CRUMBLE,TRUSTEE",27,Chinese,87,41,67,19,36,49
VIEN BENIDOS LOS CATRACHOS,56,Indian,42,66,26,65,37,48
VINNY'S  CAFE,25,Chinese,74,48,68,17,33,48
VISION BAR & TAVERN,39,Mexican,58,89,86,60,69,67
VITO'S PIZZA,20,Italian,96,38,24,53,61,47
"VULCAN BLAZERS, INC OF BALTIMORE CITY",35,Thai,62,91,74,42,48,61
WAGON WHEEL INN,46,Chinese,13,91,51,62,23,48
WALT'S INN,85,Indian,84,55,28,20,15,53
WAVERLY SOCIAL PLEASURE CLUB,54,Indian,51,86,93,71,26,66
WEIDOG,27,American,60,83,45,49,47,52
WENDY'S,34,Mexican,32,92,45,60,10,47
WENDY'S  RESTAURANT,39,Italian,41,39,28,28,59,38
WENDY'S #166,63,American,50,49,75,69,13,55
WENDY'S #87,89,Japanese,53,31,35,96,18,53
WENDY'S OLD FASHIONED HAMBURGERS #96,62,American,67,55,69,45,12,56
WENDY'S RESTAURANT,92,Chinese,58,80,47,38,50,64
WERNER'S RESTAURANT,86,French,33,96,60,2,27,57
WESTSIDE INN,83,Mexican,5,47,15,98,22,42
WHISPERS,84,Thai,84,16,74,58,50,62
WHISTLING OYSTER,65,French,85,49,88,92,37,70
WHITTEN'S  (4502-04),76,Spanish,34,77,45,52,10,52
WHITTEN'S II,75,French,85,82,37,55,46,65
WILSON'S,67,Thai,54,80,26,82,56,59
WINDMILL/ MILOS,66,Korean,94,73,69,48,26,67
WINKS HILLTOP GRILL,38,French,19,86,30,17,1,36
WINSTON LOUNGE,21,French,27,41,20,74,73,36
WOODBERRY KITCHEN,97,American,81,64,94,93,7,77
WOODEN NICKLE LOUNGE,84,Italian,69,24,26,67,47,52
wozi lounge,69,Italian,10,65,33,64,73,49
WYLIE  LIQUORS (3101-03),98,French,59,100,82,24,35,73
XANADU,85,American,37,70,49,96,55,63
XS,73,Indian,34,46,79,18,18,50
YELLOW BOWL CAF,94,Italian,4,27,68,9,29,42
YELLOW BOWL RESTAURANT II,39,Mexican,78,23,25,33,33,39
YELLOW DOG TAVERN,66,Mexican,97,82,65,97,7,72
YETI RESTAURANT & CARRYOUT,56,French,24,19,21,12,56,30
YORK CLUB TAVERN,63,Chinese,51,70,56,96,34,61
YOUNG'S PLACE,75,Spanish,98,35,14,88,13,54
ZEEBA LOUNGE,55,Japanese,16,92,96,78,72,66
ZEN WEST ROADSIDE CANTINA,77,American,3,53,55,7,28,41
ZIASCOS,39,Thai,45,81,51,20,7,45
ZINK'S CAF,27,Spanish,5,27,24,38,26,23
ZISSIMOS BAR,53,American,77,43,39,21,7,45
ZORBAS,85,Spanish,42,34,33,99,6,49
